*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
  [+] Customer Solutions & Field Experience,E,UCUS.00000154.16.01,FO_MGA_WEST_BBASEAM1,83698.00,73610.00,83400.00,83400.00,79609.00,83400.00,87191.00,79609.00,83400.00,83400.00,79609.00,87191.00,70775.00,67018.00,79682.00,76147.00,72612.00,76147.00,83126.00,83126.00,83126.00,79274.00,83126.00,86978.00,79566.00,75815.00,89966.00,82001.00,85984.00,85984.00,82001.00,89966.00,85984.00,82001.00,85984.00,85984.00,85886.00,77930.00,91653.00,80317.00,92608.00,88511.00,84414.00,92608.00,84414.00,88511.00,88511.00,84414.00,92608.00,84414.00,86258.00,91215.00,95435.00,82775.00,95435.00,91215.00,86995.00,95435.00,86995.00,91215.00,95435.00,82775.00,89021.00,94000.00,94000.00,89654.00,98347.00,89654.00,94000.00,98347.00,85307.00,98347.00,6168554.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000155.16.01,FO_MGA_SOUTHEAST_BBASEAM1,87399.00,75999.00,86107.00,86107.00,82193.00,86107.00,90021.00,82193.00,86107.00,86107.00,82193.00,90021.00,81448.00,77569.00,91881.00,87886.00,83891.00,87886.00,95773.00,95773.00,95773.00,91420.00,95773.00,100126.00,91756.00,87518.00,103509.00,94509.00,99009.00,99009.00,94509.00,103509.00,99009.00,94509.00,99009.00,99009.00,98896.00,89906.00,105414.00,92603.00,106493.00,101863.00,97233.00,106493.00,97233.00,101863.00,101863.00,97233.00,106493.00,97233.00,99316.00,104919.00,109688.00,95381.00,109688.00,104919.00,100150.00,109688.00,100150.00,104919.00,109688.00,95381.00,102439.00,108066.00,108066.00,103154.00,112979.00,103154.00,108066.00,112979.00,98242.00,112979.00,6985443.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000172.01.01,FO_FSO_ADMIN_BASE_ADMIN,30104.00,26161.00,29657.00,29657.00,28303.00,29979.00,31347.00,28610.00,29979.00,29979.00,28610.00,31347.00,28005.00,26666.00,31608.00,30229.00,28849.00,30557.00,30557.00,30557.00,30557.00,29162.00,30557.00,31951.00,28915.00,27574.00,32636.00,29787.00,31211.00,31550.00,30110.00,32990.00,31550.00,30110.00,31550.00,31550.00,31158.00,28314.00,33220.00,29167.00,33562.00,32445.00,30965.00,33926.00,30965.00,32445.00,32445.00,30965.00,32846.00,29478.00,30113.00,31819.00,33271.00,29204.00,33605.00,32138.00,30671.00,33605.00,30671.00,32138.00,34082.00,29995.00,32225.00,34003.00,34003.00,32803.00,35940.00,32803.00,34372.00,35940.00,31234.00,35940.00,2244997.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000255.01.01,FO_CP_INSIDE_ACCT_SPECIALIST_BASE,54818.00,49985.00,56633.00,56633.00,54059.00,56633.00,59208.00,54059.00,56633.00,56633.00,54059.00,100798.00,93697.00,88977.00,105393.00,100811.00,96229.00,100811.00,100811.00,100811.00,100811.00,96229.00,100811.00,105393.00,96583.00,92121.00,108954.00,99480.00,104217.00,104217.00,99480.00,108954.00,104217.00,99480.00,104217.00,104217.00,130052.00,94635.00,110959.00,97474.00,112095.00,107221.00,102348.00,112095.00,102348.00,107221.00,107221.00,102348.00,112095.00,102348.00,104541.00,110438.00,115458.00,100398.00,115458.00,110438.00,105418.00,115458.00,105418.00,110438.00,115458.00,100398.00,107828.00,113751.00,113751.00,108581.00,118922.00,108581.00,113751.00,118922.00,103410.00,118922.00,7063266.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000324.01.01,FO_MGA_NORTH_BBASEMAJ1,109177.00,94937.00,107563.00,107563.00,102674.00,107563.00,112452.00,102674.00,107563.00,107563.00,102674.00,87558.00,74477.00,70931.00,84017.00,80364.00,76711.00,80364.00,90217.00,90217.00,90217.00,86116.00,90217.00,94318.00,86433.00,82440.00,97504.00,89026.00,93265.00,93265.00,89026.00,97504.00,93265.00,89026.00,93265.00,93265.00,93159.00,84690.00,99299.00,87231.00,100315.00,95954.00,91592.00,100315.00,91592.00,95954.00,95954.00,91592.00,100315.00,91592.00,93555.00,98832.00,103325.00,89847.00,103325.00,98832.00,94340.00,103325.00,94340.00,98832.00,103325.00,89847.00,96496.00,101797.00,101797.00,97170.00,106424.00,97170.00,101797.00,106424.00,92543.00,106424.00,6854733.00
  [+] Customer Solutions & Field Experience,E,UCUS.00000370.01.01,FO_CP_STRATEGY_ANALYTICS_BASE1,32840.00,32840.00,37208.00,37208.00,35516.00,37208.00,38899.00,35516.00,37208.00,37208.00,35516.00,38899.00,35194.00,33518.00,39702.00,37976.00,36250.00,37976.00,37976.00,37976.00,37976.00,36250.00,37976.00,39702.00,36383.00,34703.00,41044.00,37475.00,39259.00,39259.00,37475.00,41044.00,39259.00,37475.00,39259.00,39259.00,39214.00,35650.00,41799.00,36719.00,42227.00,40391.00,38555.00,42227.00,38555.00,40391.00,40391.00,38555.00,42227.00,38555.00,39381.00,41603.00,43494.00,37821.00,43494.00,41603.00,39712.00,43494.00,39712.00,41603.00,43494.00,37821.00,40619.00,42851.00,42851.00,40903.00,44798.00,40903.00,42851.00,44798.00,38955.00,44798.00,2819442.00
  [+] Customer Solutions & Field Experience,E,Result,,1571728.00,1276823.00,1492788.00,1535640.00,1504972.00,1584250.00,1702358.00,1463366.00,1630039.00,1566747.00,1512751.00,1671963.00,1394198.00,1259957.00,1576980.00,1522631.00,1489567.00,1569698.00,1641325.00,1592531.00,1667120.00,1498550.00,1649990.00,1691862.00,1478821.00,1337008.00,1675871.00,1509977.00,1680422.00,1661070.00,1574950.00,1733983.00,1708169.00,1530793.00,1693991.00,1635281.00,1609075.00,1346193.00,1684341.00,1416351.00,1808855.00,1679621.00,1589836.00,1754287.00,1618018.00,1655022.00,1714187.00,1539807.00,1726810.00,1474429.00,1490093.00,1661028.00,1839219.00,1477488.00,1837172.00,1666556.00,1639385.00,1786215.00,1609322.00,1667780.00,1750611.00,1367648.00,1500286.00,1674534.00,1738822.00,1599655.00,1852504.00,1558291.00,1765557.00,1799769.00,1503902.00,1801674.00,115492511.00
  [+] Revenue Management & Smart Meter Network,E,UCUS.00000013.01.01,BILLING SYSTEMS,71055.00,138137.00,158283.00,158283.00,150482.00,158283.00,166083.00,150482.00,158283.00,171616.00,149815.00,130033.00,61139.00,144300.00,173383.00,165265.00,157147.00,165265.00,165265.00,165265.00,165265.00,156480.00,178598.00,137781.00,63655.00,149871.00,179692.00,162907.00,171300.00,171300.00,162907.00,179692.00,171300.00,162241.00,184633.00,135517.00,74257.00,154323.00,183244.00,159353.00,185256.00,176622.00,167988.00,185256.00,167988.00,175955.00,189955.00,162923.00,85519.00,167988.00,171873.00,182321.00,191214.00,164534.00,191214.00,182321.00,173427.00,190547.00,186760.00,177256.00,88485.00,164534.00,177696.00,188190.00,188190.00,179030.00,197350.00,179030.00,188190.00,196684.00,183203.00,192286.00,11661966.00
  [+] Revenue Management & Smart Meter Network,E,UCUS.00000020.01.01,CUSTOMER BILLING ADMIN,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
  [+] Revenue Management & Smart Meter Network,E,UCUS.00000020.02.01,CUSTOMER BILLING PROJECT TEAM,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
