*Resp. Cost Center,*Project Type,WBS: Reporting WBS,WBS: Reporting WBS Desc.|Time: Fiscal Year.Period,1/1/2020,2/1/2020,3/1/2020,4/1/2020,5/1/2020,6/1/2020,7/1/2020,8/1/2020,9/1/2020,10/1/2020,11/1/2020,12/1/2020,1/1/2021,2/1/2021,3/1/2021,4/1/2021,5/1/2021,6/1/2021,7/1/2021,8/1/2021,9/1/2021,10/1/2021,11/1/2021,12/1/2021,1/1/2022,2/1/2022,3/1/2022,4/1/2022,5/1/2022,6/1/2022,7/1/2022,8/1/2022,9/1/2022,10/1/2022,11/1/2022,12/1/2022,1/1/2023,2/1/2023,3/1/2023,4/1/2023,5/1/2023,6/1/2023,7/1/2023,8/1/2023,9/1/2023,10/1/2023,11/1/2023,12/1/2023,1/1/2024,2/1/2024,3/1/2024,4/1/2024,5/1/2024,6/1/2024,7/1/2024,8/1/2024,9/1/2024,10/1/2024,11/1/2024,12/1/2024,1/1/2025,2/1/2025,3/1/2025,4/1/2025,5/1/2025,6/1/2025,7/1/2025,8/1/2025,9/1/2025,10/1/2025,11/1/2025,12/1/2025,Overall Result
[-] Customer Service,E,UCUS.00000063.10.01,RRD REV PRTCT BILLER,14850.00,12913.00,14576.00,14576.00,13914.00,14576.00,15239.00,13914.00,14576.00,14576.00,13914.00,15235.00,13843.00,13184.00,15559.00,14883.00,14206.00,14883.00,14883.00,14883.00,14883.00,14206.00,14883.00,15559.00,14285.00,13622.00,16055.00,14659.00,15357.00,15357.00,14659.00,16055.00,15357.00,14659.00,15357.00,15357.00,15391.00,13991.00,16366.00,14358.00,16512.00,15794.00,15076.00,16512.00,15076.00,15794.00,15794.00,15076.00,16482.00,15041.00,15599.00,16085.00,17007.00,14973.00,16824.00,16360.00,15529.00,16916.00,15620.00,16176.00,16976.00,14844.00,16086.00,16567.00,16851.00,16089.00,17328.00,16184.00,16661.00,17423.00,15422.00,17328.00,1105599.00
[-] Customer Service,E,UCUS.00000065.01.01,BROWARD- METER MAINTENANCE,93403.00,81220.00,89342.00,89342.00,85281.00,89342.00,93403.00,85281.00,89342.00,89951.00,87839.00,96205.00,86869.00,82732.00,95142.00,91006.00,86869.00,91006.00,91006.00,91006.00,91006.00,87490.00,93736.00,97997.00,89575.00,85309.00,98106.00,89575.00,93840.00,93840.00,89575.00,98106.00,93840.00,90343.00,96656.00,96656.00,96771.00,87974.00,101170.00,87974.00,101170.00,96771.00,92372.00,101170.00,92372.00,97695.00,99674.00,95143.00,104305.00,95235.00,95235.00,99770.00,104305.00,90700.00,104305.00,99770.00,95235.00,104579.00,95874.00,100440.00,105005.00,91309.00,95874.00,100440.00,100440.00,95874.00,105005.00,95874.00,100440.00,105319.00,91936.00,105726.00,6804485.00
[-] Customer Service,E,UCUS.00000065.03.01,BROWARD- C/I METER MAINTENANCE,24651.00,21435.00,23579.00,23579.00,22507.00,23579.00,24651.00,22507.00,23579.00,23740.00,23182.00,25390.00,22926.00,21835.00,25110.00,24018.00,22926.00,24018.00,24018.00,24018.00,24018.00,23090.00,24739.00,25863.00,23663.00,22536.00,25917.00,23663.00,24790.00,24790.00,23663.00,25917.00,24790.00,23866.00,25534.00,25534.00,25490.00,23173.00,26649.00,23173.00,26649.00,25490.00,24332.00,26649.00,24332.00,25734.00,26255.00,25062.00,27448.00,25062.00,25062.00,26255.00,27448.00,23868.00,27448.00,26255.00,25062.00,27556.00,25312.00,26518.00,27723.00,24107.00,25312.00,26518.00,26518.00,25312.00,27723.00,25312.00,26518.00,27846.00,24353.00,28006.00,1795146.00
[-] Customer Service,E,UCUS.00000065.10.01,BROWARD- DISPATCH,5620.00,4887.00,5376.00,5376.00,5132.00,5376.00,5620.00,5132.00,5376.00,5412.00,5281.00,5784.00,5223.00,4974.00,5720.00,5472.00,5223.00,5472.00,5472.00,5472.00,5472.00,5259.00,5631.00,5887.00,5321.00,5068.00,5828.00,5321.00,5575.00,5575.00,5321.00,5828.00,5575.00,5366.00,5738.00,5738.00,5937.00,5398.00,6207.00,5398.00,6207.00,5937.00,5667.00,6207.00,5667.00,5993.00,6111.00,5833.00,6464.00,5902.00,5902.00,6183.00,6464.00,5621.00,6464.00,6183.00,5902.00,6538.00,6074.00,6363.00,6653.00,5785.00,6074.00,6363.00,6363.00,6074.00,6653.00,6074.00,6363.00,6737.00,5954.00,6847.00,416463.00
[-] Customer Service,E,UCUS.00000065.11.01,BROWARD- ADMINISTRATIVE,34531.00,30775.00,34119.00,34119.00,32568.00,34119.00,35670.00,32568.00,34119.00,34289.00,33283.00,36453.00,55612.00,54044.00,62435.00,59720.00,57006.00,59720.00,59720.00,59720.00,59720.00,57349.00,61231.00,64015.00,89199.00,84964.00,97985.00,89465.00,93725.00,93725.00,89465.00,97985.00,93725.00,90154.00,96250.00,96250.00,96441.00,87674.00,101027.00,87944.00,101135.00,96738.00,92341.00,101135.00,92341.00,97564.00,99334.00,94819.00,103975.00,94934.00,95144.00,99763.00,104298.00,90694.00,104298.00,99763.00,95229.00,105137.00,97187.00,101815.00,106443.00,92559.00,97418.00,102133.00,102133.00,97491.00,106776.00,97491.00,102133.00,107736.00,94769.00,108985.00,5786596.00
[-] Customer Service,E,UCUS.00000065.11.02,BROWARD - SUPERVISION,9541.00,8297.00,9400.00,9400.00,8973.00,9400.00,9827.00,8973.00,9400.00,9400.00,8973.00,9827.00,8892.00,8468.00,10030.00,9594.00,9158.00,9594.00,9594.00,9594.00,9594.00,9158.00,9594.00,10030.00,9081.00,8662.00,10244.00,9354.00,9799.00,9799.00,9354.00,10244.00,9799.00,9354.00,9799.00,9799.00,10146.00,9224.00,10815.00,9500.00,10925.00,10450.00,9975.00,10925.00,9975.00,10450.00,10450.00,9975.00,11054.00,10093.00,10309.00,10890.00,11386.00,9900.00,11386.00,10890.00,10395.00,11386.00,10395.00,10890.00,11386.00,9900.00,10633.00,11217.00,11217.00,10707.00,11727.00,10707.00,11217.00,11727.00,10197.00,11727.00,724155.00
[-] Customer Service,E,UCUS.00000066.01.01,EAST- METER MAINTENANCE,60164.00,52316.00,57548.00,57548.00,54932.00,57548.00,60164.00,54932.00,57548.00,57940.00,56580.00,61969.00,55955.00,53291.00,61284.00,58620.00,55955.00,58620.00,58620.00,58620.00,58620.00,56355.00,60378.00,63123.00,57667.00,54921.00,63159.00,57667.00,60413.00,60413.00,57667.00,63159.00,60413.00,58162.00,62226.00,62226.00,59386.00,56727.00,65236.00,56727.00,65236.00,62400.00,59563.00,65236.00,59563.00,62995.00,64272.00,61350.00,67293.00,61442.00,61442.00,64368.00,67293.00,58516.00,67293.00,64368.00,61442.00,67565.00,62076.00,65032.00,67988.00,59120.00,62076.00,65032.00,65032.00,62076.00,67988.00,62076.00,65032.00,68299.00,59742.00,68703.00,4386702.00
[-] Customer Service,E,UCUS.00000066.03.01,EAST - C/I METER MAINTENANCE,59913.00,52098.00,57308.00,57308.00,54703.00,57308.00,59913.00,54703.00,57308.00,57699.00,56344.00,61710.00,55722.00,53068.00,61029.00,58375.00,55722.00,58375.00,58375.00,58375.00,58375.00,56120.00,60127.00,62860.00,57513.00,54774.00,62990.00,57513.00,60252.00,60252.00,57513.00,62990.00,60252.00,58006.00,62059.00,62059.00,61954.00,56322.00,64770.00,56322.00,64770.00,61954.00,59138.00,64770.00,59138.00,62545.00,63812.00,60912.00,66713.00,60912.00,60912.00,63812.00,66713.00,58011.00,66713.00,63812.00,60912.00,66938.00,61437.00,64363.00,67289.00,58512.00,61437.00,64363.00,64363.00,61437.00,67289.00,61437.00,64363.00,67546.00,59027.00,67882.00,4361614.00
[-] Customer Service,E,UCUS.00000066.10.01,EAST - ADMINISTRATIVE,18103.00,18103.00,19913.00,19913.00,19008.00,19913.00,20818.00,19008.00,19913.00,20049.00,19578.00,21443.00,19362.00,18440.00,21206.00,20284.00,19362.00,20284.00,20284.00,20284.00,20284.00,19500.00,20893.00,21842.00,19985.00,19033.00,21888.00,19985.00,20936.00,20936.00,19985.00,21888.00,20936.00,20156.00,21564.00,21564.00,21528.00,19571.00,22506.00,19571.00,22506.00,21528.00,20549.00,22506.00,20549.00,21733.00,22173.00,21166.00,39296.00,47197.00,47197.00,49444.00,51692.00,44949.00,51692.00,49444.00,47197.00,52298.00,48613.00,50927.00,53242.00,46298.00,48613.00,50927.00,50927.00,48613.00,53242.00,48613.00,50927.00,53937.00,47687.00,54840.00,2170340.00
[-] Customer Service,E,UCUS.00000066.11.01,EAST - DISPATCH,5400.00,4696.00,5165.00,5165.00,4931.00,5165.00,5400.00,4931.00,5165.00,5201.00,5079.00,5562.00,5022.00,4783.00,5501.00,5262.00,5022.00,5262.00,5262.00,5262.00,5262.00,5058.00,5419.00,5666.00,5121.00,4878.00,5609.00,5121.00,5365.00,5365.00,5121.00,5609.00,5365.00,5165.00,5526.00,5526.00,5719.00,5199.00,5979.00,5199.00,5979.00,5719.00,5459.00,5979.00,5459.00,5773.00,5890.00,5623.00,6230.00,5689.00,5689.00,5960.00,6230.00,5418.00,6230.00,5960.00,5689.00,6304.00,5859.00,6138.00,6417.00,5580.00,5859.00,6138.00,6138.00,5859.00,6417.00,5859.00,6138.00,6501.00,5748.00,6610.00,401051.00
[-] Customer Service,E,UCUS.00000067.01.01,NE - METER MAINTENANCE,39983.00,34768.00,38245.00,38245.00,36506.00,38245.00,39983.00,36506.00,38245.00,38506.00,37602.00,41183.00,37186.00,35416.00,40728.00,38957.00,37186.00,38957.00,38957.00,38957.00,38957.00,37452.00,40126.00,41950.00,38382.00,36554.00,42037.00,38382.00,40209.00,40209.00,38382.00,42037.00,40209.00,38711.00,41416.00,41416.00,41345.00,37587.00,43225.00,37587.00,43225.00,41345.00,39466.00,43225.00,39466.00,41740.00,42586.00,40650.00,44521.00,40650.00,40650.00,42586.00,44521.00,38714.00,44521.00,42586.00,40650.00,44521.00,40650.00,42586.00,44521.00,38714.00,40650.00,42586.00,42586.00,40650.00,44521.00,40650.00,42586.00,44521.00,38714.00,44521.00,2904609.00
[-] Customer Service,E,UCUS.00000067.03.01,NE - C/I METER MAINTENANCE,41084.00,35725.00,39298.00,39298.00,37512.00,39298.00,41084.00,37512.00,39298.00,39566.00,38637.00,42317.00,38210.00,36391.00,41849.00,40030.00,38210.00,40030.00,40030.00,40030.00,40030.00,38483.00,41231.00,43105.00,39439.00,37561.00,43195.00,39439.00,41317.00,41317.00,39439.00,43195.00,41317.00,39777.00,42556.00,42556.00,42484.00,38622.00,44415.00,38622.00,44415.00,42484.00,40553.00,44415.00,40553.00,42889.00,43758.00,41769.00,45747.00,41769.00,41769.00,43758.00,45747.00,39780.00,45747.00,43758.00,41769.00,45962.00,42271.00,44283.00,46296.00,40258.00,42271.00,44283.00,44283.00,42271.00,46296.00,42271.00,44283.00,46542.00,40749.00,46862.00,2993372.00
[-] Customer Service,E,UCUS.00000067.10.01,NE - ADMINISTRATIVE,37625.00,33444.00,36788.00,36788.00,35116.00,36788.00,38460.00,35116.00,36788.00,37039.00,36169.00,39614.00,35770.00,34067.00,39177.00,37473.00,35770.00,37473.00,37473.00,37473.00,37473.00,36026.00,38598.00,40352.00,36920.00,35162.00,40436.00,36920.00,38678.00,38678.00,36920.00,40436.00,38678.00,37236.00,39838.00,39838.00,39771.00,36155.00,41578.00,36155.00,41578.00,39771.00,37963.00,41578.00,37963.00,40150.00,40964.00,39102.00,42826.00,39102.00,39102.00,40964.00,42826.00,37240.00,42826.00,40964.00,39102.00,42909.00,39297.00,41168.00,43039.00,37426.00,39297.00,41168.00,41168.00,39297.00,43039.00,39297.00,41168.00,43135.00,37617.00,43260.00,2796564.00
[-] Customer Service,E,UCUS.00000067.10.02,NE - SUPERVISION,19272.00,16758.00,18987.00,18987.00,18124.00,18987.00,19850.00,18124.00,18987.00,18987.00,18124.00,19850.00,17959.00,17104.00,20260.00,19379.00,18498.00,19379.00,19379.00,19379.00,19379.00,18498.00,19379.00,20260.00,18343.00,17495.00,20692.00,18893.00,19792.00,19792.00,18893.00,20692.00,19792.00,18893.00,19792.00,19792.00,20493.00,18630.00,21844.00,19189.00,22067.00,21108.00,20149.00,22067.00,20149.00,21108.00,21108.00,20149.00,22327.00,20386.00,20822.00,21997.00,22997.00,19997.00,22997.00,21997.00,20997.00,22997.00,20997.00,21997.00,22997.00,19997.00,21477.00,22657.00,22657.00,21627.00,23687.00,21627.00,22657.00,23687.00,20597.00,23687.00,1462675.00
[-] Customer Service,E,UCUS.00000068.01.01,NORTH - METER MAINTENANCE,14071.00,12236.00,13460.00,13460.00,12848.00,13460.00,14071.00,12848.00,13460.00,13551.00,13233.00,14494.00,13087.00,12464.00,14333.00,13710.00,13087.00,13710.00,13710.00,13710.00,13710.00,13181.00,14122.00,14763.00,13421.00,12782.00,14699.00,13421.00,14060.00,14060.00,13421.00,14699.00,14060.00,13536.00,14482.00,14482.00,14737.00,13397.00,15407.00,13397.00,15407.00,14737.00,14067.00,15407.00,14067.00,14878.00,15179.00,14489.00,15970.00,14581.00,14581.00,15275.00,15970.00,13887.00,15970.00,15275.00,14581.00,16071.00,14817.00,15523.00,16229.00,14112.00,14817.00,15523.00,15523.00,14817.00,16229.00,14817.00,15523.00,16345.00,14344.00,16495.00,1034352.00
[-] Customer Service,E,UCUS.00000068.03.01,NORTH - C/I METER MAINTENANCE,24651.00,21435.00,23579.00,23579.00,22507.00,23579.00,24651.00,22507.00,23579.00,23740.00,23182.00,25390.00,22926.00,21835.00,25110.00,24018.00,22926.00,24018.00,24018.00,24018.00,24018.00,23090.00,24739.00,25863.00,23663.00,22536.00,25917.00,23663.00,24790.00,24790.00,23663.00,25917.00,24790.00,23866.00,25534.00,25534.00,25490.00,23173.00,26649.00,23173.00,26649.00,25490.00,24332.00,26649.00,24332.00,25734.00,26255.00,25062.00,27448.00,25062.00,25062.00,26255.00,27448.00,23868.00,27448.00,26255.00,25062.00,27663.00,25563.00,26780.00,27997.00,24346.00,25563.00,26780.00,26780.00,25563.00,27997.00,25563.00,26780.00,28243.00,24837.00,28563.00,1799533.00
[-] Customer Service,E,UCUS.00000068.10.01,NORTH - ADMINISTRATIVE,12476.00,12476.00,13724.00,13724.00,13100.00,13724.00,14348.00,13100.00,13724.00,13817.00,13493.00,14778.00,13344.00,12709.00,14615.00,13979.00,13344.00,13979.00,13979.00,13979.00,13979.00,13439.00,14399.00,15053.00,13773.00,13117.00,15085.00,13773.00,14429.00,14429.00,13773.00,15085.00,14429.00,13891.00,14862.00,14862.00,14836.00,13488.00,15511.00,13488.00,15511.00,14836.00,14162.00,15511.00,14162.00,14978.00,15281.00,14587.00,15976.00,14587.00,14587.00,15281.00,15976.00,13892.00,15976.00,15281.00,14587.00,16164.00,15024.00,15740.00,16455.00,14309.00,15024.00,15740.00,15740.00,15024.00,16455.00,15024.00,15740.00,16670.00,14738.00,16949.00,1048077.00
[-] Customer Service,E,UCUS.00000068.10.02,NORTH - SUPERVISION,7657.00,6658.00,7544.00,7544.00,7201.00,7544.00,7887.00,7201.00,7544.00,7544.00,7201.00,7887.00,7136.00,6796.00,8050.00,7700.00,7350.00,7700.00,7700.00,7700.00,7700.00,7350.00,7700.00,8050.00,7288.00,6951.00,8221.00,7506.00,7864.00,7864.00,7506.00,8221.00,7864.00,7506.00,7864.00,7864.00,8142.00,7402.00,8679.00,7624.00,8768.00,8387.00,8005.00,8768.00,8005.00,8387.00,8387.00,8005.00,8871.00,8099.00,8273.00,8740.00,9137.00,7945.00,9137.00,8740.00,8342.00,9137.00,8342.00,8740.00,9137.00,7945.00,8533.00,9002.00,9002.00,8593.00,9411.00,8593.00,9002.00,9411.00,8184.00,9411.00,581142.00
[-] Customer Service,E,UCUS.00000068.11.01,NORTH - DISPATCH,5620.00,4887.00,5376.00,5376.00,5132.00,5376.00,5620.00,5132.00,5376.00,5412.00,5281.00,5784.00,5223.00,4974.00,5720.00,5472.00,5223.00,5472.00,5472.00,5472.00,5472.00,5259.00,5631.00,5887.00,5321.00,5068.00,5828.00,5321.00,5575.00,5575.00,5321.00,5828.00,5575.00,5366.00,5738.00,5738.00,5937.00,5398.00,6207.00,5398.00,6207.00,5937.00,5667.00,6207.00,5667.00,5993.00,6111.00,5833.00,6464.00,5902.00,5902.00,6183.00,6464.00,5621.00,6464.00,6183.00,5902.00,6538.00,6074.00,6363.00,6653.00,5785.00,6074.00,6363.00,6363.00,6074.00,6653.00,6074.00,6363.00,6737.00,5954.00,6847.00,416463.00
[-] Customer Service,E,UCUS.00000069.01.01,WEST - METER MAINTENANCE,27830.00,24200.00,26620.00,26620.00,25410.00,26620.00,27830.00,25410.00,26620.00,26801.00,26172.00,28665.00,25883.00,24651.00,28348.00,27116.00,25883.00,27116.00,27116.00,27116.00,27116.00,26068.00,27929.00,29199.00,26715.00,25443.00,29260.00,26715.00,27987.00,27987.00,26715.00,29260.00,27987.00,26944.00,28827.00,28827.00,28778.00,26162.00,30086.00,26162.00,30086.00,28778.00,27470.00,30086.00,27470.00,29053.00,29641.00,28294.00,30989.00,28294.00,28294.00,29641.00,30989.00,26947.00,30989.00,29641.00,28294.00,31093.00,28537.00,29896.00,31255.00,27178.00,28537.00,29896.00,29896.00,28537.00,31255.00,28537.00,29896.00,31374.00,27417.00,31529.00,2025986.00
[-] Customer Service,E,UCUS.00000069.03.01,WEST - C/I METER MAINTENANCE,16434.00,14290.00,15719.00,15719.00,15005.00,15719.00,16434.00,15005.00,15719.00,15826.00,15455.00,16927.00,15284.00,14556.00,16740.00,16012.00,15284.00,16012.00,16012.00,16012.00,16012.00,15393.00,16492.00,17242.00,15775.00,15024.00,17278.00,15775.00,16527.00,16527.00,15775.00,17278.00,16527.00,15911.00,17022.00,17022.00,16994.00,15449.00,17766.00,15449.00,17766.00,16994.00,16221.00,17766.00,16221.00,17156.00,17503.00,16708.00,18299.00,16708.00,16708.00,17503.00,18299.00,15912.00,18299.00,17503.00,16708.00,18299.00,16708.00,17503.00,18299.00,15912.00,16708.00,17503.00,17503.00,16708.00,18299.00,16708.00,17503.00,18299.00,15912.00,18299.00,1193839.00
[-] Customer Service,E,UCUS.00000069.04.01,WEST - RP,6618.00,5755.00,6331.00,6331.00,6043.00,6331.00,6618.00,6043.00,6331.00,6374.00,6224.00,6817.00,6155.00,5862.00,6742.00,6448.00,6155.00,6448.00,6448.00,6448.00,6448.00,6199.00,6642.00,6944.00,6353.00,6051.00,6958.00,6353.00,6656.00,6656.00,6353.00,6958.00,6656.00,6408.00,6855.00,6855.00,6844.00,6222.00,7155.00,6222.00,7155.00,6844.00,6533.00,7155.00,6533.00,6909.00,7049.00,6729.00,7369.00,6729.00,6729.00,7049.00,7369.00,6408.00,7369.00,7049.00,6729.00,7369.00,6729.00,7049.00,7369.00,6408.00,6729.00,7049.00,7049.00,6729.00,7369.00,6729.00,7049.00,7369.00,6408.00,7369.00,480792.00
[-] Customer Service,E,UCUS.00000069.10.02,WEST - SUPERVISION,7469.00,6495.00,7359.00,7359.00,7024.00,7359.00,7693.00,7024.00,7359.00,7359.00,7024.00,7693.00,6961.00,6629.00,7852.00,7511.00,7170.00,7511.00,7511.00,7511.00,7511.00,7170.00,7511.00,7852.00,7109.00,6781.00,8020.00,7322.00,7671.00,7671.00,7322.00,8020.00,7671.00,7322.00,7671.00,7671.00,7943.00,7221.00,8466.00,7437.00,8553.00,8181.00,7809.00,8553.00,7809.00,8181.00,8181.00,7809.00,8654.00,7901.00,8070.00,8526.00,8913.00,7751.00,8913.00,8526.00,8138.00,8913.00,8138.00,8526.00,8913.00,7751.00,8324.00,8781.00,8781.00,8382.00,9181.00,8382.00,8781.00,9181.00,7983.00,9181.00,566903.00
[-] Customer Service,E,UCUS.00000070.01.01,NW - METER MAINTENANCE,19648.00,17086.00,18794.00,18794.00,17940.00,18794.00,19648.00,17940.00,18794.00,18922.00,18478.00,20238.00,18274.00,17404.00,20014.00,19144.00,18274.00,19144.00,19144.00,19144.00,19144.00,18405.00,19719.00,20615.00,18861.00,17963.00,20658.00,18861.00,19760.00,19760.00,18861.00,20658.00,19760.00,19023.00,20352.00,20352.00,20318.00,18471.00,21241.00,18471.00,21241.00,20318.00,19394.00,21241.00,19394.00,20512.00,20927.00,19976.00,21879.00,19976.00,19976.00,20927.00,21879.00,19025.00,21879.00,20927.00,19976.00,22135.00,20575.00,21555.00,22535.00,19596.00,20575.00,21555.00,21555.00,20575.00,22535.00,20575.00,21555.00,22829.00,20183.00,23211.00,1437869.00
[-] Customer Service,E,UCUS.00000070.03.01,NW - C/I METER MAINTENANCE,33666.00,29275.00,32202.00,32202.00,30738.00,32202.00,33666.00,30738.00,32202.00,32422.00,31660.00,34676.00,31311.00,29820.00,34293.00,32802.00,31311.00,32802.00,32802.00,32802.00,32802.00,31534.00,33786.00,35322.00,32317.00,30778.00,35395.00,32317.00,33856.00,33856.00,32317.00,35395.00,33856.00,32594.00,34872.00,34872.00,34813.00,31648.00,36395.00,31648.00,36395.00,34813.00,33230.00,36395.00,33230.00,35145.00,35857.00,34227.00,37487.00,34227.00,34227.00,35857.00,37487.00,32597.00,37487.00,35857.00,34227.00,37819.00,35003.00,36670.00,38337.00,33336.00,35003.00,36670.00,36670.00,35003.00,38337.00,35003.00,36670.00,38718.00,34098.00,39213.00,2459258.00
[-] Customer Service,E,UCUS.00000070.10.01,NW - ADMINISTRATIVE,20013.00,18304.00,20134.00,20134.00,19219.00,20134.00,21050.00,19219.00,20134.00,20271.00,19791.00,21676.00,19573.00,18641.00,21437.00,20505.00,19573.00,20505.00,20505.00,20505.00,20505.00,19711.00,21115.00,22075.00,20046.00,19091.00,21955.00,20046.00,21001.00,21001.00,20046.00,21955.00,21001.00,20217.00,21626.00,21626.00,22078.00,20071.00,23082.00,20071.00,23082.00,22078.00,21075.00,23082.00,21075.00,22288.00,22736.00,21703.00,23945.00,21863.00,21863.00,22904.00,23945.00,20822.00,23945.00,22904.00,21863.00,24224.00,22514.00,23586.00,24658.00,21442.00,22514.00,23586.00,23586.00,22514.00,24658.00,22514.00,23586.00,24978.00,22081.00,25393.00,1552651.00
[-] Customer Service,E,UCUS.00000071.01.01,ADMIN - ADMINISTRATIVE,41257.00,35875.00,40647.00,40647.00,38799.00,40647.00,42494.00,38799.00,40647.00,40647.00,38799.00,42494.00,38438.00,36608.00,43362.00,41477.00,39591.00,41477.00,41477.00,41477.00,41477.00,39591.00,41477.00,43362.00,39251.00,37438.00,44279.00,40429.00,42354.00,42354.00,40429.00,44279.00,42354.00,40429.00,42354.00,42354.00,43850.00,39864.00,46740.00,41060.00,47219.00,45166.00,43113.00,47219.00,43113.00,45166.00,45166.00,43113.00,47774.00,43620.00,44555.00,47068.00,49208.00,42789.00,49208.00,47068.00,44929.00,49208.00,44929.00,47068.00,49208.00,42789.00,45956.00,48480.00,48480.00,46277.00,50684.00,46277.00,48480.00,50684.00,44073.00,50684.00,3130146.00
[-] Customer Service,E,UCUS.00000071.01.02,ADMIN - SUPERVISION,16135.00,14031.00,15897.00,15897.00,15174.00,15897.00,16620.00,15174.00,15897.00,15897.00,15174.00,16620.00,15037.00,14321.00,16963.00,16225.00,15488.00,16225.00,16225.00,16225.00,16225.00,15488.00,16225.00,16963.00,15357.00,14648.00,17325.00,15818.00,16571.00,16571.00,15818.00,17325.00,16571.00,15818.00,16571.00,16571.00,17158.00,15598.00,18289.00,16066.00,18476.00,17673.00,16870.00,18476.00,16870.00,17673.00,17673.00,16870.00,18694.00,17068.00,17434.00,18417.00,19254.00,16743.00,19254.00,18417.00,17580.00,19254.00,17580.00,18417.00,19254.00,16743.00,17982.00,18970.00,18970.00,18107.00,19832.00,18107.00,18970.00,19832.00,17245.00,19832.00,1224640.00
[-] Customer Service,E,UCUS.00000071.02.01,ADMIN - METER MAINTENANCE,-564880.00,-605433.00,-610101.00,-567249.00,-505803.00,-523869.00,-501332.00,-544671.00,-473356.00,-543227.00,-522918.00,-548854.00,-615667.00,-654944.00,-658898.00,-616140.00,-555494.00,-574259.00,-553666.00,-597788.00,-523199.00,-599244.00,-570797.00,-596552.00,-682293.00,-722911.00,-727641.00,-684744.00,-622312.00,-643260.00,-624748.00,-670086.00,-591481.00,-673332.00,-638274.00,-663776.00,-735946.00,-778611.00,-783616.00,-741512.00,-676148.00,-699007.00,-680783.00,-727466.00,-648140.00,-729641.00,-693420.00,-719904.00,-798791.00,-842498.00,-852377.00,-803578.00,-741553.00,-768000.00,-744779.00,-798567.00,-713797.00,-798296.00,-761233.00,-782337.00,-865039.00,-911207.00,-920359.00,-870421.00,-810381.00,-834743.00,-813513.00,-871647.00,-779978.00,-870267.00,-828247.00,-846730.00,-49815732.00
[-] Customer Service,E,UCUS.00000071.05.01,FMO - APPRENTICE PROGRAM,55407.00,48180.00,52998.00,52998.00,50589.00,52998.00,55407.00,50589.00,52998.00,53359.00,52107.00,57069.00,51531.00,49077.00,56439.00,53985.00,51531.00,53985.00,53985.00,53985.00,53985.00,51899.00,55604.00,58132.00,52988.00,50465.00,58035.00,52988.00,55512.00,55512.00,52988.00,58035.00,55512.00,53443.00,57177.00,57177.00,54720.00,52476.00,60347.00,52476.00,60347.00,57723.00,55100.00,60347.00,55100.00,58274.00,59455.00,56753.00,62388.00,56963.00,56963.00,59676.00,62388.00,54251.00,62388.00,59676.00,56963.00,63093.00,58607.00,61398.00,64189.00,55817.00,58607.00,61398.00,61398.00,58607.00,64189.00,58607.00,61398.00,64995.00,57429.00,66044.00,4069222.00
[-] Customer Service,E,UCUS.00000071.06.01,FMO - TEMP EMPLOYEES,,,,,,,,,,,,,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,,,,,,,,,,,,-33208.00,-166040.00
[-] Customer Service,E,UCUS.00000072.02.01,MS SUPPORT,39072.00,34664.00,39274.00,39274.00,37489.00,39274.00,41059.00,37489.00,39274.00,39274.00,37489.00,41059.00,37134.00,35366.00,41891.00,40070.00,38248.00,40070.00,40070.00,40070.00,40070.00,38248.00,40070.00,41891.00,38377.00,36604.00,43293.00,39528.00,41411.00,41411.00,39528.00,43293.00,41411.00,39528.00,41411.00,41411.00,41359.00,37599.00,44085.00,38727.00,44536.00,42600.00,40663.00,44536.00,40663.00,42600.00,42600.00,40663.00,44536.00,40663.00,41535.00,43878.00,45872.00,39889.00,45872.00,43878.00,41883.00,45872.00,41883.00,43878.00,45872.00,39889.00,42841.00,45194.00,45194.00,43140.00,47248.00,43140.00,45194.00,47248.00,41085.00,47248.00,2978653.00
[-] Customer Service,E,UCUS.00000074.01.01,CUSTOMER SERVICE ADMIN BASE O&M,8450.00,7710.00,8366.00,8366.00,8112.00,8366.00,8620.00,8112.00,8366.00,8366.00,8112.00,8620.00,8054.00,7802.00,8729.00,8471.00,8212.00,8471.00,8471.00,8471.00,8471.00,8212.00,8471.00,8729.00,8223.00,7972.00,8921.00,8386.00,8654.00,8654.00,8386.00,8921.00,8654.00,8386.00,8654.00,8654.00,8644.00,8110.00,9030.00,8270.00,9094.00,8820.00,8545.00,9094.00,8545.00,8820.00,8820.00,8545.00,9094.00,8545.00,8668.00,9001.00,9284.00,8435.00,9284.00,9001.00,8718.00,9284.00,8718.00,9001.00,9284.00,8435.00,8854.00,9187.00,9187.00,8896.00,9479.00,8896.00,9187.00,9479.00,8605.00,9479.00,622931.00
